"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2001","2001",100,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2002","2002",71,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2003","2003",62,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2005","2005",30,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2006","2006",54,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2007","2007",61,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2008","2008",66,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2009","2009",37,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2010","2010",53,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2011","2011",71,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2012","2012",73,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2013","2013",70,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2014","2014",60,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2015","2015",72,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2016","2016",63,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2017","2017",75,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2018","2018",80,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2001","2001",1723,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2002","2002",1718,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2003","2003",1682,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2005","2005",1673,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2006","2006",1664,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2007","2007",1574,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2008","2008",1536,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2009","2009",1536,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2010","2010",1540,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2011","2011",1590,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2012","2012",1630,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2013","2013",1592,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2014","2014",1614,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2015","2015",1611,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2016","2016",1647,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2017","2017",1509,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2018","2018",1540,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2001","2001",419,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2002","2002",408,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2003","2003",369,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2005","2005",409,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2006","2006",404,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2007","2007",387,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2008","2008",473,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2009","2009",484,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2010","2010",462,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2011","2011",489,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2012","2012",450,,
