Eurostat,name,county,region,n_pr,sum_sol,sum_sol_t,ag65p_y2010,ag15to64_y2010,ag15l_y2010,ag65p_y2011,ag15to64_y2011,ag15l_y2011,ag65p_y2012,ag15to64_y2012,ag15l_y2012,ag65p_y2013,ag15to64_y2013,ag15l_y2013,life_exp_2007,life_exp_2008,life_exp_2009,life_exp_2010,life_exp_2011,life_exp_2012,life_exp_2013,mor_r_2007,mor_r_2008,mor_r_2009,mor_r_2010,mor_r_2011,mor_r_2012,mor_r_2013
RO121,Alba,AB,C,2,5766616.8,10448705.96,57441,275235,57091,57663,273840,56392,58233,272294,55792,58863,270959,54890,72.85,73.51,73.84,73.96,74.23,74.52,75.29,11.5,11.8,12.5,12.1,11.9,11.9,11.7
RO311,Arges,AG,SM,3,4145282.65,18562006.99,96674,470036,94381,97107,467958,93356,98106,465190,92337,99703,462592,90917,72.87,73.26,73.67,74.05,74.3,74.69,75.26,11.3,11.3,11.3,11.7,11.8,11.5,11.3
RO421,Arad,AR,V,6,14443784.7,36480687.53,70736,339270,70424,70745,338836,70034,71319,337549,69550,72545,335841,68969,71.82,72.3,72.76,72.83,73.11,73.61,74.06,13.2,13.3,13.7,13.5,12.8,13.2,12.9
RO321,Bucharest Municipality,B,BI,11,28883463.78,58309504,304968,1584271,272798,306046,1576231,275005,308417,1566159,277182,312587,1549586,278643,74.41,74.78,75.29,75.71,75.89,76.14,76.41,11.3,11,10.9,11.1,11.1,11.4,10.9
RO211,Bacau,BC,NE,3,7117279.04,18667404.35,101188,526820,128314,101301,525951,126367,101012,525881,125026,100911,526360,122823,71.93,72.34,72.43,72.39,72.55,73.11,73.74,11.3,11.3,11.5,12,11.4,11.7,11.8
RO111,Bihor,BH,NV,12,28374612.98,42130947.98,88276,438074,98103,88797,437437,97598,89509,436292,97366,90563,434728,96742,71.25,71.88,72.2,72.27,72.82,73.34,73.71,12.8,12.7,13,12.5,12.2,12.5,12.6
RO112,Bistrita-Nasaud,BN,NV,4,6308355.67,6308355.67,42073,230873,58419,42433,230488,57995,42825,230183,57380,43275,230080,56676,72.88,73.3,73.71,74.14,74.56,74.64,74.86,10.2,10.3,10.4,10.5,10.3,10.9,10.1
RO221,Braila,BR,SE,1,2553149.77,9603083.59,60819,262277,50845,60359,260312,50134,60136,258257,49378,59580,256774,48290,72.92,73.01,73.24,73.5,73.72,73.64,74.16,12.7,12.8,12.9,13.2,13,13.6,13.2
RO212,Botosani,BT,NE,5,9253456.24,21807276.98,72495,311678,85551,71988,310580,84133,71278,310488,82824,70215,311274,81092,71.89,72.34,72.79,72.66,72.74,73.36,73.75,12.4,12.4,13,13,12.4,12.8,12.5
RO122,Brasov,BV,C,2,5600345.43,8048714.71,79834,455480,91735,80691,454233,93033,81839,452799,93960,83227,451469,94463,73.38,73.84,74.28,74.74,75.27,75.61,75.83,9.8,10,9.7,9.9,9.8,9.9,10.2
RO222,Buzau,BZ,SE,4,7674549.84,13884568.65,87543,336029,73846,86662,334374,73136,85890,333004,72482,84634,332061,71413,73.21,73.69,73.6,73.68,73.81,74.36,74.83,13,13.2,13.6,13.9,13.9,13.8,14
RO113,Cluj,CJ,NV,2,5695210.46,31393215.26,110954,504129,96742,112218,505113,97189,113702,504494,97631,115131,504220,97831,73.31,74.03,74.52,74.85,75.24,75.61,75.95,11.6,11.4,11.5,11.6,11.4,11.7,11.4
RO312,Calarasi,CL,SM,2,1316811.75,1316811.75,53626,220231,53228,53063,219430,52860,52731,218782,52576,52290,218469,51635,71.54,71.51,71.81,71.84,72.16,72.89,73.29,13.5,13.7,13.9,14.1,13.8,14,13.9
RO422,Caras-Severin,CS,V,5,12339591.05,17832008.66,50572,243324,49224,50505,241451,48332,51334,239139,47468,52242,236770,46263,71.1,72,72.44,72.5,72.83,73.26,73.97,13,12.8,13,13.3,13,12.4,12.7
RO223,Constanta,CT,SE,8,16197271.23,28584445.81,93855,559623,116954,94821,558727,117675,96119,557019,118238,97921,555500,117917,71.83,72.22,72.56,72.76,73.09,73.53,74.04,10.3,10.4,10.4,10.7,10.6,10.8,10.5
RO123,Covasna,CV,C,3,5541575.62,9843260.91,31694,161469,38724,31725,160997,38464,31777,160538,38285,31781,160269,38176,72.8,73.01,73.31,73.4,73.82,74.52,74.86,11,11.3,11.4,11.3,10.9,11.2,10.7
RO313,Dambovita,DB,SM,5,13604916.63,21478243.46,78914,374654,83846,78917,374371,83335,79287,373803,82762,79435,372891,81628,72.85,73.36,73.48,73.62,74.02,74.76,75.2,11.6,12,11.9,12.1,11.5,11.8,12
RO411,Dolj,DJ,SV,11,30556862.27,46822500.96,119048,496546,104479,117825,495161,103412,118178,492347,102604,119608,489156,100963,72.18,72.5,72.74,72.83,73.31,73.8,74.18,13.7,13.8,14,14.3,13.7,13.8,13.4
RO412,Gorj,GJ,SV,8,15895229.93,21471549.17,50878,268874,58186,50826,268562,56905,50993,267673,55605,51769,266577,54037,72.95,73.35,73.62,73.54,73.82,74.3,74.87,10.5,10.5,11,11.3,10.9,11.1,10.8
RO224,Galati,GL,SE,9,21488702.91,23971415.31,84683,457323,99610,85165,456208,97800,85590,456571,96035,85686,457710,93896,72.61,72.77,72.93,73.19,73.63,74,74.17,10.6,10.8,10.9,11.3,10.6,11.1,10.8
RO314,Giurgiu,GR,SM,6,14998463.29,25933577.14,51947,188712,42843,51283,188969,42273,51093,188981,41795,50728,188308,41078,71.24,71.51,71.6,71.96,72.54,73.07,73.36,15.7,15.7,16.4,16.2,15.3,15.9,15.3
RO423,Hunedoara,HD,V,5,12574372.69,24423432.02,71412,352866,67538,71799,349731,66082,72961,346260,64432,73994,342942,62783,71.41,72.19,72.75,72.9,73.33,73.68,74.2,11.7,12.1,12.2,12.5,12.1,12.3,12.3
RO124,Harghita,HR,C,5,10175957.92,21048353.33,47840,234125,55040,48195,233435,54600,48631,232830,54163,48872,232551,53769,72.57,73.12,73.45,73.73,74.04,74.41,74.97,11,11.4,11.3,11.2,11,11,10.5
RO322,Ilfov,IF,BI,7,19780362.89,33143313.19,44778,229786,46325,45251,239796,49365,45754,248504,52290,46237,257155,54759,72.45,72.39,72.75,73.14,73.51,74.15,74.58,11.9,11.6,11.8,11.2,10.8,11.1,10.3
RO315,Ialomita,IL,SM,4,6487242.68,9190617.76,47643,204920,50282,47381,203814,50147,46888,202938,50054,46477,202364,49362,72.31,72.61,72.25,72.32,72.59,72.98,73.54,12.6,13.2,13.1,13.3,13.6,13.5,12.9
RO213,Iasi,IS,NE,4,9468342.66,23960892.63,107519,597984,158449,107790,599850,157946,107695,606385,158267,108244,619079,157929,73.13,73.52,73.79,73.65,73.6,74.16,74.93,9.8,9.9,10.2,10.7,10,10.5,10
RO413,Mehedinti,MH,SV,4,6164733.04,20571790.23,46898,208625,43987,46351,207459,43080,46332,206102,42479,46919,204250,41605,72.02,72.02,72.16,72.23,72.57,73.27,74.14,13.9,14,13.8,14.3,13.9,13.9,13.1
RO114,Maramures,MM,NV,2,5190200.29,9613169.71,67622,378657,87420,68568,377548,86016,69759,376264,84829,70940,375316,83148,71.53,72.4,72.92,72.93,73,73.58,74.16,10.5,10.3,10.7,11,10.4,10.7,10.4
RO125,Mures,MS,C,8,18077751.44,32504855.64,90374,415279,97432,90614,413874,97084,91209,412467,96584,91777,412026,95565,72.47,72.99,73.29,73.28,73.57,74.05,74.83,11.9,11.8,12.2,12.3,11.9,11.7,11.5
RO214,Neamt,NT,NE,16,35358372.99,62647708.39,88154,407297,94120,88357,406101,93015,88145,405570,91907,87971,405147,90401,73.21,73.58,73.53,73.61,73.94,74.45,74.83,10.7,11.3,11.5,12,11.4,11.8,11.8
RO414,Olt,OT,SV,4,9193148.69,22969125.17,78269,328132,67873,77838,325774,66025,77919,323443,64271,78726,320377,62196,71.79,71.99,72.19,72.55,73.1,73.93,74.36,13.5,14.1,13.9,13.9,13.5,14.1,13.4
RO316,Prahova,PH,SM,7,15112172.06,32409491.4,132521,579638,119833,132471,576717,118752,132652,573567,117468,132226,571568,115704,73.14,73.98,73.96,73.85,74.21,74.57,75.05,11.7,11.9,12.4,12.2,12.1,12.6,12.1
RO126,Sibiu,SB,C,4,9512460.47,33078125.34,59465,328844,72301,59967,329150,72603,60976,328396,72926,62184,327784,72838,73.09,73.34,73.28,73.76,74.23,74.79,74.98,10.4,10.8,10.7,10.7,10.2,10.8,10.5
RO116,Salaj,SJ,NV,5,10927850.63,16053986.33,37830,173493,41384,37903,172585,41106,38199,171738,40798,38620,170676,40478,71.51,71.96,72.18,72.23,72.98,73.41,73.49,12.8,12.7,13.3,12.7,12.6,12.6,12.5
RO115,Satu Mare,SM,NV,3,5359909.9,16663532.3,47223,284410,63909,47392,283556,63652,47827,282736,63248,48606,281779,62712,69.46,69.89,70.34,70.51,71.07,71.76,72.13,12.3,12.2,12.5,12.4,12.1,11.6,11.7
RO215,Suceava,SV,NE,5,7866742.42,21228619.11,101333,498541,137047,100874,500522,136314,100691,502400,135891,100710,504571,135042,73.48,73.75,74.26,74.33,74.49,75.11,75.58,10.5,10.4,10.6,10.7,10.6,10.8,10.5
